NO,NAME,POS,FT,IN,WGT,AGE,YOG,SCHOOL,CITY,STATE,STATUS,INVITED
,Fran Belibi,F,6,1,190,19,2023,Stanford,Centennial,CO,Team,
,Aijha Blackwell,G,6,0,150,19,2019,Cardinal Ritter Prep,Berkeley,MO,,
,Aliyah Boston,F,6,4,185,18,2023,South Carolina,St. Thomas,USVI,Team,
,Cameron Brink,F,6,4,160,18,2020,Southridge HS,Beaverton,OR,Team,
,Jenna Brown,G,5,10,155,19,2022,Stanford,Smyrna,GA,,
,Paige Bueckers,G,5,11,140,18,2020,Hopkins HS,St. Louis Park,MN,Team,
,Chrislyn Carr,G,5,5,125,20,2022,Texas Tech,Davenport,IA,,
,Caitlin Clark,G,6,0,155,18,2020,Dowling Catholic HS,West Des Moines,IA,Team,
,Nia Clouden,G,5,8,140,20,2022,Michigan State,Owings Mill,MD,,
,Elissa Cunane,C,6,5,190,19,2022,North Carolina State,Northern Guilford,NC,,
,Maori Davenport,F,6,4,175,19,2019,Henderson HS,Troy,AL,,
,Aquira DeCosta,F,6,2,172,20,2022,Baylor,Stockton,CA,,
,Elizabeth Dixon,F,6,4,180,19,2022,Louisville,Germantown,TN,,
,Queen Egbo,F,6,3,190,20,2022,Baylor,Houston,TX,Team,
,Shaylee Gonzales,G,5,10,,20,2022,Brigham Young,Gilbert,AZ,,
,Aubrey Griffin,F,6,1,160,18,2019,Ossining HS,Ossining,NY,,
,Nazahrah Hillmon-Baker,F,6,1,190,20,2022,Michigan,Cleveland,OH,Team,
,Rhyne Howard,G,6,2,180,20,2022,Kentucky,Cleveland,TN,Team,
,Ashley Joens,G,5,11,150,20,2022,Iowa State,Iowa City,IA,Team,
,Haley Jones,G,6,1,160,19,2019,Archbishop Mitty HS,Santa Cruz,CA,,
,Diamond Miller,G,6,1,140,19,2023,Maryland,Somerset,NJ,Team,
,Jordan Nixon,G,5,9,155,19,2022,,New York,NY,,
,Charisma Osborne,G,5,8,150,19,2019,Windward School,Inglewood,CA,,
,Abby Prohaska,G,5,10,150,20,2022,Notre Dame,Liberty Township,OH,,
,Taylor Robertson,G,5,7,,20,2022,Oklahoma,McPherson,KS,,
,Honesty Scott-Grayson,G,5,11,156,20,2022,Baylor,Severn,MD,,
,NaLyssa Smith,F,6,3,180,19,2022,Baylor,Converse,TX,,
,Celeste Taylor,G,5,11,135,19,2023,Texas,Valley Stream,NY,Team,
,Hailey Van Lith,G,5,9,155,18,2020,Cashmere HS,Wenatchee,WA,Team,
,Kylee Watson,F,6,4,180,18,2020,Mainland Regional HS,Linwood,NJ,,
